Title,Title_URL,Address,Address_URL,City,Review,Price,Rating
The Venetian Suite,https://hotels.ng/hotel/1012680-the-venetian-suite-abuja,"Utako, Abuja - No 18 YPO Sodiende Street Off Augustus Aikhomu Way Utako Abuja",https://hotels.ng/hotels-in-abuja/utako,Utako,,,
"The Capital Apartments, Abuja",https://hotels.ng/hotel/1392301-the-capital-apartments-abuja,"Asokoro, Abuja - No 4 Tito Broz Off Jimmy Carter Avenue, Asokoro ",https://hotels.ng/hotels-in-abuja/asokoro,Asokoro,,"₦18,900
                                               avg/night
                                           ",
Top View Hotel,https://hotels.ng/hotel/58846-top-view-hotel-abuja,"Wuse, Abuja - 6 Algiers Street, Zone 5",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦15,100
                                               avg/night
                                           ",6.3 Very Good
Hotel Oyus (formerly Classic Int'l Hotel),https://hotels.ng/hotel/74157-classic-intl-hotel-abuja,"Gudu, Abuja -  Front A Legislative Portals Along Apo Apartment Before Fast Supermarket",https://hotels.ng/hotels-in-abuja/gudu,Gudu,Apart from the water heater that was not in my room every other thing was okay. Atmosphere...,"₦8,000
                                               avg/night
                                           ",
Divemer Hotels,https://hotels.ng/hotel/14872-divemer-hotels-abuja,"Wuse, Abuja - Plot 697 Wuye District, Opposite Family Worship Centre",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦5,000
                                               avg/night
                                           ",
Monotechy Guest House,https://hotels.ng/hotel/79539-monotechy-guest-house-abuja,"Kubwa, Abuja - Opp. High Court, By Police Station, Phase IV",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,,"₦2,500
                                               avg/night
                                           ",
Davvy Hotel,https://hotels.ng/hotel/79644-davvy-hotel-abuja-abuja,"Jabi, Abuja - High Court Of Binawari Street, Eteqwe.",https://hotels.ng/hotels-in-abuja/jabi,Jabi,,"₦13,650
                                               avg/night
                                           ",
Sweet Ville Hotel ,https://hotels.ng/hotel/46369-sweet-ville-hotel-suites-rivers,"Lugbe, Abuja - House D 32 FHA, Opposite Redeemed Church",https://hotels.ng/hotels-in-abuja/lugbe,Lugbe,,"₦4,500
                                               avg/night
                                           ",
The Grand Mirage Hotel,https://hotels.ng/hotel/97439-the-grand-mirage-hotel-abuja,"Garki, Abuja - 36 Port Harcourt Crescent Off Gimibiya Street  Area 11",https://hotels.ng/hotels-in-abuja/garki,Garki,,"₦15,750
                                               avg/night
                                           ",6.5 Very Good
BON Hotel Apo Residence,https://hotels.ng/hotel/11836-protea-hotel-apo-apartments-abuja,"Apo, Abuja - 2 Ahmadu Bello Way, Apo, (Opposite Legislative Quarters)",https://hotels.ng/hotels-in-abuja/apo,Apo,"Serene, homely environment. Its a nice experience. The apartments gives the feels of home ...","₦36,000
                                               avg/night
                                           ",
WestPoint Hotel,https://hotels.ng/hotel/76929-de-west-point-hotel-abia,"Wuse, Abuja - Behind NAFDAC Office Plot 2038 Masaka Close Wuse Zone 7",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦15,000
                                               avg/night
                                           ",
Tamara Guest Inn,https://hotels.ng/hotel/14138-tamara-guest-inn-abuja,"Wuse, Abuja - No. 51 Abidjan Street, Zone 3",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦9,000
                                               avg/night
                                           ",
Rosebud Hotel And Apartment ,https://hotels.ng/hotel/95887-nanet-suites-abuja,"Central Business District, Abuja - Plot 1042 Kur Mohammed Way Ekiti House",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District,"My stay at the hotel was a memorable one. I enjoyed every moment spent there, the  custome...","₦35,000
                                               avg/night
                                           ",6.4 Very Good
Promel Hotel Formerly (Sharon Regency Hotels),https://hotels.ng/hotel/37394-sharon-regency-hotels-abuja,"Wuse, Abuja - Plot 1312 Nairobi Street, Off Aminu Kano Crescent",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,,
