Hotel_Title,Title_URL,Like,Address,Address_URL,City,Review_Text,Price,Rating,Number
"1 Bedroom Mini Flat At Allen Estate, Ikeja",https://hotels.ng/hotel/1395535-1-bedroom-mini-flat-at-allen-estate-ikeja,"
                                           
                                           1 like","Ikeja, Lagos - Allen Estate, Allen Avenue, Ikeja",https://hotels.ng/hotels-in-lagos/ikeja,Ikeja,,"₦35,000
                                               avg/night
                                           ",,
"3 Bedroom Terraced Duplex House At 2nd Avenue, Old Ikoyi",https://hotels.ng/hotel/1395536-3-bedroom-terraced-duplex-house-at-2nd-avenue-old-ikoyi,"
                                           
                                           1 like","Ikoyi, Lagos - 2nd Avenue, Old Ikoyi, Ikoyi",https://hotels.ng/hotels-in-lagos/ikoyi,Ikoyi,,"₦70,000
                                               avg/night
                                           ",,
1 Bedroom Apartment At Omorire Johnson Lekki Phase 1,https://hotels.ng/hotel/1395537-1-bedroom-apartment-at-omorire-johnson-lekki-phase-1,"
                                           
                                           1 like","Lekki Phase 1, Lagos - Omorire Johnson, Lekki Phase 1, Lekki",https://hotels.ng/hotels-in-lagos/lekki-phase-1,Lekki Phase 1,,"₦45,000
                                               avg/night
                                           ",,
"4 Bedroom Detached Duplex House At Landbridge Ave, Oniru",https://hotels.ng/hotel/1395538-4-bedroom-detached-duplex-house-at-landbridge-ave-oniru,"
                                           
                                           1 like","Oniru Estate,vi, Lagos - Landbridge Avenue, Oniru, Victoria Island","https://hotels.ng/hotels-in-lagos/oniru-estate,vi","Oniru Estate,vi",,"₦75,000
                                               avg/night
                                           ",,
"2 Bedroom Apartment At Banana Island, Ikoyi",https://hotels.ng/hotel/1395539-2-bedroom-apartment-at-banana-island-ikoyi,"
                                           
                                           1 like","Banana Island, Lagos - Banana Island, Ikoyi",https://hotels.ng/hotels-in-lagos/banana-island,Banana Island,,"₦50,000
                                               avg/night
                                           ",,
"1 Bedroom Serviced Apartment, Oniru, VI Extension",https://hotels.ng/hotel/1395540-1-bedroom-serviced-apartment-oniru-vi-extension,"
                                           
                                           1 like","Victoria Island, Lagos - Oniru, Victoria Island Extension",https://hotels.ng/hotels-in-lagos/victoria-island,Victoria Island,,"₦30,000
                                               avg/night
                                           ",,
2 Bedroom Apartment At Ty Danjuma Str Oniru Victoria Island,https://hotels.ng/hotel/1395543-2-bedroom-apartment-at-ty-danjuma-str-oniru-victoria-island,"
                                           
                                           1 like","Oniru Estate,vi, Lagos - Ty Danjuma Street, Oniru, VI Lagos","https://hotels.ng/hotels-in-lagos/oniru-estate,vi","Oniru Estate,vi",,"₦50,000
                                               avg/night
                                           ",,
3 Bedroom Apartment Off Ondo Str Banana Island,https://hotels.ng/hotel/1395544-3-bedroom-apartment-off-ondo-str-banana-island,"
                                           
                                           1 like","Banana Island, Lagos - Off Ondo Street, Banana Island, Ikoyi",https://hotels.ng/hotels-in-lagos/banana-island,Banana Island,,"₦65,000
                                               avg/night
                                           ",,
"1 Bedroom Mini Flat At Elegba Festival Road, Oniru Victoria Island Lagos",https://hotels.ng/hotel/1395545-1-bedroom-mini-flat-at-elegba-festival-road-oniru-victoria-island-lagos,"
                                           
                                           1 like","Oniru Estate,vi, Lagos - Elegba Festival Road, Oniru Victoria Island Lagos","https://hotels.ng/hotels-in-lagos/oniru-estate,vi","Oniru Estate,vi",,"₦39,900
                                               avg/night
                                           ",,
3 Bedroom Apartment Off Mobolaji Johnson Avenue Old Ikoyi ,https://hotels.ng/hotel/1395546-3-bedroom-apartment-off-mobolaji-johnson-avenue-old-ikoyi,"
                                           
                                           1 like","Ikoyi, Lagos - Off Mobolaji Johnson Avenue Old Ikoyi Ikoyi Lagos",https://hotels.ng/hotels-in-lagos/ikoyi,Ikoyi,,"₦65,000
                                               avg/night
                                           ",,
3 Bedroom Flat Close To Mojisola Onikoyi Old Ikoyi,https://hotels.ng/hotel/1395547-3-bedroom-flat-close-to-mojisola-onikoyi-old-ikoyi,"
                                           
                                           1 like"," Ikoyi, Lagos - Mojisola Onikoyi Old Ikoyi",https://hotels.ng/hotels-in-lagos/ikoyi, Ikoyi,,"₦80,000
                                               avg/night
                                           ",,
1 Bedroom Self Con At Eko Atlantic City,https://hotels.ng/hotel/1395988-1-bedroom-self-con-at-eko-atlantic-city,"
                                           
                                           1 like","VICTORIA ISLAND , Lagos - Eko Atlantic City Ahmadu Bello Way Victoria Island",https://hotels.ng/hotels-in-lagos/victoria-island,VICTORIA ISLAND ,,"₦20,000
                                               avg/night
                                           ",,
3 Bedroom Apartment At  Palm Springs Road Ikate,https://hotels.ng/hotel/1395989-3-bedroom-apartment-at-palm-springs-road-ikate,"
                                           
                                           1 like","Lekki, Lagos - Palm Springs Road Ikate Lekki",https://hotels.ng/hotels-in-lagos/lekki,Lekki,,"₦45,000
                                               avg/night
                                           ",,
"3 Bedroom Detached Duplex At Adeniyi Coker Ligali Ayorinde, VI",https://hotels.ng/hotel/1395990-3-bedroom-detached-duplex-at-adeniyi-coker-ligali-ayorinde-vi,"
                                           
                                           1 like","Victoria Island, Lagos - ",https://hotels.ng/hotels-in-lagos/victoria-island,Victoria Island,,,,
Sayaveth Hotels,https://hotels.ng/hotel/1395999-sayaveth-hotels,"
                                           
                                           1 like",", Lagos - 9 Hakeem Dickson Str Along Central Mosque Road Lekki Phase 1",https://hotels.ng/hotels-in-lagos/,,,,,
24/7 Arena ,https://hotels.ng/hotel/1396000-24-7-arena,"
                                           
                                           1 like",", Lagos - 25, Ibikunle Street, Off University Road, Akoka",https://hotels.ng/hotels-in-lagos/,,,,,
20 L & B Hotel ,https://hotels.ng/hotel/1396002-20-l-b-hotel-and-bar,"
                                           
                                           2 people like this hotel ","Egbeda, Lagos - ",https://hotels.ng/hotels-in-lagos/egbeda,Egbeda,,,,
Brooks Hotels,https://hotels.ng/hotel/1396158-brooks-hotels,"
                                           
                                           1 like","Ipaja, Lagos - ",https://hotels.ng/hotels-in-lagos/ipaja,Ipaja,,,,
3 Bedroom Apartment At 1004 Estate V.I. (Cluster C),https://hotels.ng/hotel/1396189-3-bedroom-at-1004-estate-vi-cluster-c,"
                                           
                                           2 people like this hotel ","VICTORIA ISLAND , Lagos - Cluster C, 1004 Estate, Victoria Island",https://hotels.ng/hotels-in-lagos/victoria-island,VICTORIA ISLAND ,,"₦60,500
                                               avg/night
                                           ",,
4 Bedroom Duplex At VGC ,https://hotels.ng/hotel/1396191-4-bedroom-duplex-at-vgc,"
                                           
                                           2 people like this hotel ","Victoria Garden City, Lagos - Victoria Garden City",https://hotels.ng/hotels-in-lagos/victoria-garden-city,Victoria Garden City,,"₦93,500
                                               avg/night
                                           ",,
